ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,906,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,907,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,910,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,912,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,913,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,914,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,918,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,921,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,922,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,928,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,929,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,936,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,938,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,941,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,943,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,944,3,245,3ª Región,Vallenar,Vallenar,3301,VALLENAR,3301
2003,950,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,952,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,954,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,958,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,960,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,964,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,965,3,247,3ª Región,Huasco,Huasco,3304,HUASCO,3304
2003,971,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,974,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,981,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,984,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,985,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,986,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,987,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,994,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,996,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1002,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1007,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1009,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1010,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1017,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1019,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1022,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1024,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1031,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1036,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1041,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1043,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1046,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1048,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1049,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1052,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1054,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1056,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1057,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1060,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1062,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1064,4,250,4ª Región,La Serena,La Serena,4101,LA SERENA,4101
2003,1071,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1073,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1074,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1075,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1079,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1080,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1095,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1098,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1099,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1102,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1104,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1105,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1106,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1108,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1110,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1113,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1117,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1118,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1123,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1125,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1127,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1130,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1132,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
2003,1133,4,252,4ª Región,Coquimbo,Coquimbo,4102,COQUIMBO,4102
